Affenpinscher,Wiry,Short,Medium
Afghan Hound,Silky,Long
Airedale Terrier,Wiry,Short,Medium
Akita,Double,Medium
Alaskan Klee Kai,Double,0,Medium
Alaskan Malamute,Double,Medium
American Bulldog,Smooth,Short
American English Coonhound,Smooth,Short
American Eskimo Dog,Double,Medium
American Foxhound,Smooth,Short
American Hairless Terrier,Hairless,Short
American Leopard Hound,Smooth,Short
American Staffordshire Terrier,Smooth,Short
American Water Spaniel,Curly,Double,Medium
Anatolian Shepherd Dog,Smooth,Short
Appenzeller Sennenhund,Short
Australian Cattle Dog,Double,Smooth,Short
Australian Kelpie,Double,Smooth,Short
Australian Shepherd,Double,Medium
Australian Stumpy Tail Cattle Dog,Double,Short
Australian Terrier,Wiry,Short
Azawakh,Smooth,Short
Barbado da Terceira,Wiry,Medium
Barbet,Wavy,Curly,Medium,Long
Basenji,Smooth,Short
Basset Fauve de Bretagne,Double,Wiry,Medium
Basset Hound,Smooth,Short
Bavarian Mountain Scent Hound,Smooth,Short
Beagle,Smooth,Short
Bearded Collie,Silky,Long
Beauceron,Double,Smooth,Short
Bedlington Terrier,Curly,Medium
Belgian Laekenois,Wiry,Rough,Medium
Belgian Malinois,Smooth,Short
Belgian Sheepdog,Double,Medium
Belgian Tervuren,Double,Medium
Bergamasco Sheepdog,Corded,Long
Berger Picard,Wiry,Medium
Bernese Mountain Dog,Double,Medium
Bichon Frise,Curly,Double,Long
Biewer Terrier,Silky,Long
Black and Tan Coonhound,Smooth,Short
Black Russian Terrier,Curly,Double,Medium,Long
Bloodhound,Smooth,Short
Bluetick Coonhound,Smooth,Short
Boerboel,Smooth,Short
Bohemian Shepherd,Wavy,Double,Medium
Bolognese,Wavy,Long
Border Collie,Wavy,Double,Medium
Border Terrier,Wiry,Short
Borzoi,Silky,Curly,Medium
Boston Terrier,Smooth,Short
Bouvier des Flandres,Double,Rough,Medium
Boxer,Smooth,Short
Boykin Spaniel,Wavy,Double,Medium
Bracco Italiano,Smooth,Short
Braque du Bourbonnais,Smooth,Short
Braque Francais Pyrenean,Smooth,Short
Briard,Wavy,Double,Long
Brittany,Wavy,Double,Short
Broholmer,Smooth,Short
Brussels Griffon,Double,Smooth,Wiry,Short,Medium
Bull Terrier,Smooth,Short
Bulldog,Smooth,Short
Bullmastiff,Smooth,Short
Cairn Terrier,Double,Wiry,Medium
Canaan Dog,Double,Smooth,Short
Cane Corso,Smooth,Short
Cardigan Welsh Corgi,Double,Medium
Carolina Dog,Smooth,Short
Catahoula Leopard Dog,Smooth,Short
Caucasian Shepherd Dog,Double,Medium
Cavalier King Charles Spaniel,Silky,Wavy,Medium
Central Asian Shepherd Dog,Double,Medium
Cesky Terrier,Silky,Wavy,Medium
Chesapeake Bay Retriever,Wavy,Wiry,Medium
Chihuahua,Smooth,Short,Medium
Chinese Crested,Silky,Hairless,Short,Medium
Chinese Shar-Pei,Smooth,Short
Chinook,Smooth,Medium
Chow Chow,Double,Rough,Smooth,Medium
Cirneco dell’Etna,Smooth,Short
Clumber Spaniel,Silky,Wavy,Medium
Cocker Spaniel,Silky,Double,Long
Collie,Rough,Smooth,Short,Long
Coton de Tulear,Wavy,Double,Long
Croatian Sheepdog,Wavy,Double,Medium
Curly-Coated Retriever,Curly,Double,Short
Czechoslovakian Vlcak,0,Medium
Dachshund,Smooth,Short,Medium
Dalmatian,Smooth,Short
Dandie Dinmont Terrier,Double,Medium
Danish-Swedish Farmdog,Smooth,Short
Deutscher Wachtelhund,Wavy,Double,Medium
Doberman Pinscher,Smooth,Short
Dogo Argentino,Smooth,Short
Dogue de Bordeaux,Smooth,Short
Drentsche Patrijshond,0,Medium
Drever,Double,Short
Dutch Shepherd,Double,Short
English Cocker Spaniel,Double,Medium,Long
English Foxhound,Double,Short
